category,id,player1_name,player1_odds,player2_name,player2_odds,score,surface,timestamp,title,winner
ATP,2011-12-31-Balaji N-Ram R,Balaji N. S.,15.0,Ram R.,1.03,0:2,hard,2011-12-31 07:05,ATP Chennai 2012,2
ATP,2011-12-31-Pospisil V-Nedunchezhiyan J,Pospisil V.,1.03,Nedunchezhiyan J.,15.0,2:0,hard,2011-12-31 07:20,ATP Chennai 2012,1
ATP,2011-12-31-Tiwari A-De Voest R,Tiwari A.,17.0,De Voest R.,1.02,0:2,hard,2011-12-31 07:40,ATP Chennai 2012,2
ATP,2011-12-31-Wang J-Sugita Y,Wang J.,1.66,Sugita Y.,2.1,1:2,hard,2011-12-31 09:00,ATP Chennai 2012,2
ATP,2011-12-31-Robert S-Sousa J,Robert S.,1.5,Sousa J.,2.5,1:2,hard,2011-12-31 10:05,ATP Chennai 2012,2
ATP,2011-12-31-Lajovic D-Singh S,Lajovic D.,1.33,Singh S.,3.25,2:1,hard,2011-12-31 10:10,ATP Chennai 2012,1
ATP,2011-12-31-Peranamallur V-Soeda G,Peranamallur V.,10.0,Soeda G.,1.06,0:2,hard,2011-12-31 10:15,ATP Chennai 2012,2
ATP,2011-12-31-Torebko P-Bautista-Agut R,Torebko P.,2.3,Bautista-Agut R.,1.54,0:2,hard,2011-12-31 11:55,ATP Doha 2012,2
ATP,2011-12-31-Marchenko I-Sijsling I,Marchenko I.,1.84,Sijsling I.,1.84,0:2,hard,2011-12-31 12:25,ATP Doha 2012,2
ATP,2011-12-31-Brown D-Phau B,Brown D.,1.84,Phau B.,1.84,1:2,hard,2011-12-31 12:25,ATP Doha 2012,2
ATP,2011-12-31-Huta-Galung J-Klizan M,Huta-Galung J.,2.08,Klizan M.,1.67,2:0,hard,2011-12-31 13:40,ATP Doha 2012,1
ATP,2011-12-31-Zemlja G-Kravchuk K,Zemlja G.,1.71,Kravchuk K.,2.01,2:0,hard,2011-12-31 13:40,ATP Doha 2012,1
WTA,2011-12-31-Kulikova R-Pliskova Kr,Kulikova R.,1.41,Pliskova Kr.,2.77,2:0,hard,2011-12-31 21:00,WTA Auckland 2012,1
WTA,2011-12-31-Riske A-Nara K,Riske A.,1.73,Nara K.,1.98,2:0,hard,2011-12-31 21:00,WTA Auckland 2012,1
WTA,2011-12-31-Arvidsson S-Puig M,Arvidsson S.,1.29,Puig M.,3.35,0:2,hard,2011-12-31 21:20,WTA Auckland 2012,2
WTA,2011-12-31-Vandeweghe C-Oprandi R,Vandeweghe C.,2.13,Oprandi R.,1.64,2:0,hard,2011-12-31 22:30,WTA Auckland 2012,1
WTA,2011-12-31-Pliskova Ka-Feuerstein C,Pliskova Ka.,1.58,Feuerstein C.,2.25,2:0,hard,2011-12-31 22:30,WTA Auckland 2012,1
WTA,2011-12-31-Keothavong A-Lepchenko V,Keothavong A.,1.52,Lepchenko V.,2.39,2:0,hard,2011-12-31 22:50,WTA Auckland 2012,1
WTA,2012-01-01-Dushevina V-Tsurenko L,Dushevina V.,1.37,Tsurenko L.,2.82,2:1,hard,2012-01-01 00:40,WTA Brisbane 2012,1
ATP,2012-01-01-Van Peperzeel G-Zopp J,Van Peperzeel G.,8.0,Zopp J.,1.08,1:2,hard,2012-01-01 00:40,ATP Brisbane 2012,2
WTA,2012-01-01-Tatishvili A-Panova A,Tatishvili A.,1.84,Panova A.,1.84,0:2,hard,2012-01-01 01:10,WTA Brisbane 2012,2
ATP,2012-01-01-Andreev I-Reid M,Andreev I.,1.21,Reid M.,4.02,2:1,hard,2012-01-01 01:10,ATP Brisbane 2012,1
ATP,2012-01-01-Duckworth J-Mahut N,Duckworth J.,4.29,Mahut N.,1.21,2:0,hard,2012-01-01 02:10,ATP Brisbane 2012,1
